IMDB_ID,Title,Year,Release_Month,Age_Rating,Genre,Directors,Actors,Producers,Writers,Composers,Runtime,Cinematographers,Production_Companies,Country,Language,Average_Rating,Budget,Budget_Normalized,Revenue_Normalized,num_genre,num_directors,num_actors,num_producers,num_writers,num_composers,num_cinematographers,num_production_companies
tt0499549,Avatar,2009.0,2,PG-13,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",['James Cameron'],"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez', 'Giovanni Ribisi', 'Joel David Moore', 'CCH Pounder', 'Wes Studi', 'Laz Alonso']","['James Cameron', 'Jon Landau']",['James Cameron'],['James Horner'],162.0,['Mauro Fiore'],"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']","United States, United Kingdom","English, Spanish",7.975,237000000,4.6213192937136265,15.346272333891148,4,1,10,2,1,1,1,4
tt4154796,Avengers: Endgame,2019.0,0,PG-13,"['Adventure', 'Science Fiction', 'Action']","['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Josh Brolin', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch']",['Kevin Feige'],"['Stephen McFeely', 'Christopher Markus']",['Alan Silvestri'],181.0,['Trent Opaloch'],['Marvel Studios'],United States,"English, Japanese, Xhosa, German",8.45,356000000,7.255797276606477,14.671725946527577,3,2,10,1,2,1,1,1
tt1630029,Avatar: The Way of Water,2022.0,2,PG-13,"['Science Fiction', 'Adventure', 'Action']",['James Cameron'],"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco', 'Jemaine Clement']","['Jon Landau', 'James Cameron']","['James Cameron', 'Amanda Silver', 'Rick Jaffa']",['Simon Franglen'],192.0,['Russell Carpenter'],"['20th Century Studios', 'Lightstorm Entertainment']",United States,English,7.35,460000000,9.55819820283216,12.070590655537387,3,1,10,2,3,1,1,2
tt34956443,Ne Zha 2,2025.0,4,NR,"['Animation', 'Fantasy', 'Adventure', 'Action']",['Yang Yu'],"['Lu Yanting', 'Joseph', 'Han Mo', 'Chen Hao', 'Lu Qi', 'Zhang Jiaming', 'Yang Wei', 'Wang Deshun', 'Yu Chen', 'Zhou Yongxi']",['Liu Wenzhang'],['Yang Yu'],"['Roc Chen', 'Wan Pin Chu', 'Yang Rui']",143.0,[],"['Chengdu Coco Cartoon', 'Beijing Enlight Pictures', 'Chengdu Enlight Animation', 'Coloroom Pictures']",China,"Mandarin, Chinese, English, Hindi",8.025,80000000,1.1455794339306222,11.489662598113773,4,1,10,1,1,3,0,4
tt4154756,Avengers: Infinity War,2018.0,0,PG-13,"['Adventure', 'Action', 'Science Fiction']","['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth', 'Josh Brolin', 'Mark Ruffalo', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman']",['Kevin Feige'],"['Christopher Markus', 'Stephen McFeely']",['Alan Silvestri'],149.0,['Trent Opaloch'],['Marvel Studios'],"United States, Norway",English,7.975,300000000,6.016042931715724,10.616725973154017,3,2,10,1,2,1,1,1
tt10872600,Spider-Man: No Way Home,2021.0,2,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Jon Watts'],"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori']","['Kevin Feige', 'Amy Pascal']","['Chris McKenna', 'Erik Sommers']",['Michael Giacchino'],148.0,['Mauro Fiore'],"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",United States,"English, Tagalog",8.125,200000000,3.8021958872679504,9.90797645328622,3,1,10,2,2,1,1,3
tt0369610,Jurassic World,2015.0,6,PG-13,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",['Colin Trevorrow'],"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Ty Simpkins', 'Nick Robinson', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Judy Greer']","['Frank Marshall', 'Patrick Crowley']","['Rick Jaffa', 'Amanda Silver', 'Derek Connolly', 'Colin Trevorrow']",['Michael Giacchino'],124.0,['John Schwartzman'],"['Amblin Entertainment', 'Universal Pictures']","Japan, United States",English,6.675000000000001,150000000,2.6952723650440635,8.549244190149457,4,1,10,2,4,1,1,2
tt0848228,The Avengers (2012),2012.0,0,PG-13,"['Science Fiction', 'Action', 'Adventure']",['Joss Whedon'],"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård']",['Kevin Feige'],['Joss Whedon'],['Alan Silvestri'],143.0,['Seamus McGarvey'],['Marvel Studios'],United States,"English, Russian",7.95,220000000,4.244965296157505,7.720238204452621,3,1,10,1,1,1,1,1
tt1745960,Top Gun: Maverick,2022.0,8,PG-13,"['Action', 'Drama']",['Joseph Kosinski'],"['Tom Cruise', 'Val Kilmer', 'Miles Teller', 'Jennifer Connelly', 'Bashir Salahuddin', 'Jon Hamm', 'Charles Parnell', 'Monica Barbaro', 'Lewis Pullman', 'Jay Ellis']","['Christopher McQuarrie', 'Tom Cruise', 'David Ellison', 'Jerry Bruckheimer']","['Ehren Kruger', 'Eric Warren Singer', 'Christopher McQuarrie']","['Lady Gaga', 'Harold Faltermeyer', 'Hans Zimmer']",130.0,['Claudio Miranda'],"['Skydance Media', 'Don Simpson/Jerry Bruckheimer Films', 'Paramount Pictures']",United States,English,8.45,170000000,3.1380417739336184,7.556943165192828,2,1,10,4,3,3,1,3
tt2395427,Avengers: Age of Ultron,2015.0,0,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Joss Whedon'],"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson']",['Kevin Feige'],['Joss Whedon'],"['Danny Elfman', 'Brian Tyler']",141.0,['Ben Davis'],['Marvel Studios'],United States,"English, Korean",7.199999999999999,365000000,7.455043510606776,7.104615555672575,3,1,10,1,1,2,1,1
tt1825683,Black Panther,2018.0,3,PG-13,"['Action', 'Adventure', 'Science Fiction']",['Ryan Coogler'],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Angela Bassett']",['Kevin Feige'],"['Ryan Coogler', 'Joe Robert Cole']",['Ludwig Göransson'],134.0,['Rachel Morrison'],['Marvel Studios'],United States,"English, Swahili, Nama, Xhosa, Korean",8.275,200000000,3.8021958872679504,6.803471693148675,3,1,10,1,2,1,1,1
tt6263850,Deadpool & Wolverine,2024.0,5,R,"['Action', 'Comedy', 'Science Fiction']",['Shawn Levy'],"['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Matthew Macfadyen', 'Dafne Keen', 'Jon Favreau', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Jennifer Garner']","['Ryan Reynolds', 'Lauren Shuler Donner', 'Shawn Levy', 'Kevin Feige']","['Rhett Reese', 'Paul Wernick', 'Ryan Reynolds', 'Shawn Levy', 'Zeb Wells']",['Rob Simonsen'],128.0,['George Richmond'],"['Marvel Studios', 'Maximum Effort', '21 Laps Entertainment', '20th Century Studios', 'Kevin Feige Productions', 'TSG Entertainment']","United States, United Kingdom, New Zealand, Canada","English, French, Spanish",7.125,200000000,3.8021958872679504,6.739134226280374,3,1,10,4,5,1,1,6
tt2527336,Star Wars: The Last Jedi,2017.0,2,PG-13,"['Adventure', 'Action', 'Science Fiction']",['Rian Johnson'],"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels']","['Ram Bergman', 'Leifur B. Dagfinnsson', 'Andres Jauernick', 'Kathleen Kennedy']",['Rian Johnson'],['John Williams'],152.0,['Steve Yedlin'],['Lucasfilm Ltd.'],United States,English,7.8,200000000,3.8021958872679504,6.70995862696606,3,1,10,4,1,1,1,1
